station_id,station_elevation,lat,lng
511,230,45.677594,-122.651271
509,42,48.989802,-122.1977081
499,1200,46.789309,-119.043684
501,628,45.5842802,-121.1848159
502,376,46.331196,-119.270158
504,138,48.098604,-123.183775
498,316,48.5155124,-121.4798489
489,79,48.986025,-122.713705
491,254,48.531842,-121.761484
508,131,47.856002,-121.842071
486,258,48.4934105,-122.6640264
503,43,48.5030684,-122.1899151
488,730,46.304904,-118.827191
507,9,48.2273726,-122.3515533
497,1664,47.007121,-118.573787
575,1272,46.022914,-119.0559611
546,1334,46.0845,-119.0233
571,1254,46.054377,-119.40752
572,615,45.7857745,-119.5401443
535,836,45.7548769,-119.1515024
543,970,46.015957,-119.2595292
656,1420,46.6285246,-120.5935648
655,1210,46.9477984,-119.7993157
650,1210,46.8903338,-119.4207133
599,585,45.9655844,-119.4566586
646,1169,47.0010841,-119.0294323
662,2114,46.2550877,-117.9912737
657,322,48.1106646,-123.4803733
654,1720,46.4631984,-117.9896015
632,2053,46.389887,-118.1056545
651,38,48.505229,-123.055579
660,1569,48.348811,-120.092209
693,627,43.12846,-123.44555
644,759,46.3561738,-120.2082306
638,802,46.8529938,-119.4008588
637,1140,46.8585682,-119.1155751
634,1099,46.9269464,-119.6648005
633,1222,47.1834494,-119.7586423
643,458,46.1316162,-118.9044894
648,10,47.114313,-124.1803678
636,1126,47.0559873,-119.0872496
640,852,46.5930524,-119.0018806
645,1583,46.9187927,-117.8311053
641,1010,46.6507469,-118.9325017
639,1042,46.7714082,-119.1600119
635,942,46.7554069,-119.7735738
642,1117,46.5125969,-118.8844716
661,1169,46.077217,-118.274854
647,53,48.251282,-124.259869
649,2210,47.9230496,-117.5908448
653,406,47.4459651,-121.9927923
658,2357,48.698401,-118.665828
652,1673,45.80037,-120.845386
692,830,46.2512275,-119.8297801
719,830,46.2512275,-119.7297801
709,784,46.7092141,-119.8626728
720,331,45.318665,-122.984116
708,327,45.342194,-123.04813
700,326,45.342194,-123.047615
698,618,45.347733,-123.01394
726,742,45.29973,-123.06986
704,679,45.372604,-123.12255
721,358,45.38405,-122.94783
707,509,45.054504,-123.10844
728,465,45.12173,-123.16928
694,467,45.30755,-123.06475
723,198,45.02514,-123.27841
729,431,45.04107,-123.17073
725,498,45.3769,-123.11866
724,824,44.9541,-123.12439
722,643,44.980614,-123.115005
710,266,45.13689,-123.1257
705,467,45.40573,-123.18967
696,363,45.260056,-123.04499
695,544,45.285652,-123.0349
718,1742,46.5891154,-117.641973
727,1050,46.7409453,-118.2269736
706,1506,46.6201297,-118.5937449
711,684,46.5245956,-122.4723385
702,2050,48.3595502,-117.3246402
717,1868,47.7694768,-120.6636377
712,1556,47.4529972,-121.6620847
713,1529,48.9315498,-117.7424335
703,2490,47.6594202,-118.1248572
715,997,48.8451845,-119.3977316
714,1046,48.3570633,-119.6053289
701,120,48.005687,-122.771562
716,387,45.9470165,-119.4872537
697,3014,46.042818,-120.251279
779,1004,45.9876354,-119.1398716
766,0,48.765347,-116.29834
778,797,45.6827315,-119.3430545
788,836,45.9590917,-119.1637302
781,1386,46.4444145,-118.388061
792,683,46.2712254,-120.0182537
789,68,47.1867417,-122.3290669
791,194,47.2570065,-123.0019624
783,290,47.9392196,-124.3951822
785,402,48.1348364,-123.7450926
782,167,45.66617,-121.37356
793,647,45.651305693,-121.549866537
786,645,45.5750846,-121.1673179
790,1158,45.5259326,-121.2281971
794,1329,45.584901212,-120.692346251
784,251,45.590326829,-121.213976086
